LECROYDDA3000 10053 Waveform
Segments 1 SegmentSize 100002
Segment TrigTime TimeSinceSegment1
#1 14-Jan-2002 02:43:06 0                 
Time Ampl
1.569183e-006 2.67067
1.569233e-006 2.67136
1.569283e-006 2.67757
1.569333e-006 2.68206
1.569383e-006 2.68551
1.569433e-006 2.67705
1.569483e-006 2.66531
1.569533e-006 2.65634
1.569583e-006 2.63873
1.569633e-006 2.63096
1.569683e-006 2.64166
1.569733e-006 2.66065
1.569783e-006 2.68033
1.569833e-006 2.68983
1.569883e-006 2.68586
1.569933e-006 2.66635
1.569983e-006 2.6572
1.570033e-006 2.66134
1.570083e-006 2.65893
1.570133e-006 2.65703
1.570183e-006 2.65029
1.570233e-006 2.65064
1.570283e-006 2.65634
1.570333e-006 2.65513
1.570383e-006 2.65979
1.570433e-006 2.66324
1.570483e-006 2.65496
1.570533e-006 2.632
1.570583e-006 2.62043
1.570633e-006 2.6282
1.570683e-006 2.63407
1.570733e-006 2.64943
1.570783e-006 2.67757
1.570833e-006 2.69863
1.570883e-006 2.70347
1.570933e-006 2.70157
1.570983e-006 2.70571
1.571033e-006 2.70329
1.571083e-006 2.69035
1.571133e-006 2.6862
1.571183e-006 2.68862
1.571233e-006 2.69587
1.571283e-006 2.70692
1.571333e-006 2.70968
1.571383e-006 2.70623
1.571433e-006 2.72021
1.571483e-006 2.74714
1.571533e-006 2.76199
1.571583e-006 2.76751
1.571633e-006 2.76613
1.571683e-006 2.75422
1.571733e-006 2.73955
1.571783e-006 2.72315
1.571833e-006 2.70537
1.571883e-006 2.6976
1.571933e-006 2.69155
1.571983e-006 2.68724
1.572033e-006 2.69483
1.572083e-006 2.69501
1.572133e-006 2.6843
1.572183e-006 2.68171
1.572233e-006 2.68517
1.572283e-006 2.6824
1.572333e-006 2.67464
1.572383e-006 2.66894
1.572433e-006 2.66462
1.572483e-006 2.66134
1.572533e-006 2.66998
1.572583e-006 2.68189
1.572633e-006 2.68534
1.572683e-006 2.69898
1.572733e-006 2.71469
1.572783e-006 2.72108
1.572833e-006 2.72574
1.572883e-006 2.71831
1.572933e-006 2.69622
1.572983e-006 2.67412
1.573033e-006 2.65202
1.573083e-006 2.63545
1.573133e-006 2.63942
1.573183e-006 2.64253
1.573233e-006 2.63925
1.573283e-006 2.6534
1.573333e-006 2.66946
1.573383e-006 2.67049
1.573433e-006 2.67136
1.573483e-006 2.67187
1.573533e-006 2.66687
1.573583e-006 2.66859
1.573633e-006 2.66445
1.573683e-006 2.65565
1.573733e-006 2.66566
1.573783e-006 2.67326
1.573833e-006 2.6679
1.573883e-006 2.66928
1.573933e-006 2.67049
1.573983e-006 2.67671
1.574033e-006 2.68707
1.574083e-006 2.69466
1.574133e-006 2.70606
1.574183e-006 2.70899
1.574233e-006 2.69466
1.574283e-006 2.67843
1.574333e-006 2.6774
1.574383e-006 2.67101
1.574433e-006 2.66065
1.574483e-006 2.66393
1.574533e-006 2.66635
1.574583e-006 2.67377
1.574633e-006 2.69017
1.574683e-006 2.7026
1.574733e-006 2.71193
1.574783e-006 2.70795
1.574833e-006 2.69397
1.574883e-006 2.69984
1.574933e-006 2.70985
1.574983e-006 2.69535
1.575033e-006 2.67343
1.575083e-006 2.66255
1.575133e-006 2.66531
1.575183e-006 2.67291
1.575233e-006 2.67308
1.575283e-006 2.65685
1.575333e-006 2.64995
1.575383e-006 2.65599
1.575433e-006 2.64943
1.575483e-006 2.6389
1.575533e-006 2.63113
1.575583e-006 2.62526
1.575633e-006 2.6263
1.575683e-006 2.63821
1.575733e-006 2.65254
1.575783e-006 2.65789
1.575833e-006 2.65634
1.575883e-006 2.6496
1.575933e-006 2.6446
1.575983e-006 2.64632
1.576033e-006 2.64771
1.576083e-006 2.64874
1.576133e-006 2.64943
1.576183e-006 2.64995
1.576233e-006 2.65599
1.576283e-006 2.67136
1.576333e-006 2.68292
1.576383e-006 2.6862
1.576433e-006 2.68862
1.576483e-006 2.68499
1.576533e-006 2.67671
1.576583e-006 2.67049
1.576633e-006 2.65478
1.576683e-006 2.6484
1.576733e-006 2.66583
1.576783e-006 2.67326
1.576833e-006 2.67343
1.576883e-006 2.67895
1.576933e-006 2.67774
1.576983e-006 2.67671
1.577033e-006 2.68707
1.577083e-006 2.69466
1.577133e-006 2.68948
1.577183e-006 2.67999
1.577233e-006 2.66756
1.577283e-006 2.66911
1.577333e-006 2.69225
1.577383e-006 2.69863
1.577433e-006 2.68689
1.577483e-006 2.68914
1.577533e-006 2.70191
1.577583e-006 2.71141
1.577633e-006 2.71849
1.577683e-006 2.71831
1.577733e-006 2.71279
1.577783e-006 2.70865
1.577833e-006 2.70537
1.577883e-006 2.69207
1.577933e-006 2.68189
1.577983e-006 2.68551
1.578033e-006 2.6881
1.578083e-006 2.67895
1.578133e-006 2.6667
